"id","client_code","name","latitude","longitude","isDepot","created_at","updated_at","source","groupe","cree_par"
"39","1039","MAGASIN MENZEL TAMIM","36.7829059086","10.9906100083",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"40","1040","MAGASIN DAR FADHAL-SOUKRA","36.8699893942","10.2400539508",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"41","1041","MAGASIN NABEUL-VILLE","36.4552678228","10.7261033458",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"42","1042","MAGASIN SFAX KAID MOHAMED","34.7484404856","10.7579079408",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"43","1043","MAGASIN EL WAHAT","36.8592966241","10.2659370948",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"44","1044","MAGASIN MAHDIA ROUTE DE TUNIS","35.5050802569","11.0483351522",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"45","1045","MAGASIN MAHDIA HIBOUN","35.5139743982","11.0417271904",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"46","1046","MAGASIN DOUAR HICHER 2","36.8244189021","10.083099111",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"47","1047","MAGASIN RIADH EL ANDALOUS","36.8695175764","10.1830707017",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"48","1048","MAGASIN MHAMDIA 2","36.6752033541","10.1561560171",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"49","1049","MAGASIN GHANNOUCH GABES","33.9396648385","10.0650806816",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"50","1050","MAGASIN MENZEL BOURGUIBA","37.1519359894","9.7916798265",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"51","1051","MAGASIN LA MARSA - ERRIADH","36.8865417176","10.3150153206",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"52","1052","MAGASIN EL GHAZALA","36.8910329353","10.1715964097",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"53","1053","MAGASIN SLIMEN","36.6986528734","10.4915671741",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"54","1054","MAGASIN ENFIDHA","36.1335521374","10.3765897395",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"55","1055","MAGASIN BOUMHELL","36.734601391","10.2986822297",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"56","1056","MAGASIN EZZAYATINE","36.8235337102","10.1546400809",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"57","1057","MAGASIN KORBA","36.5807603022","10.859933487",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"58","1058","MAGASIN SAHLINE","35.7502448241","10.7122725219",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"59","1059","MAGASIN SIDI EL BECHIR","36.7926755912","10.1696934115",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"60","1060","MAGASIN BENI KHALLED","36.6488321075","10.589888605",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"61","1061","MAGASIN BORJ LOUZIR","36.8685367617","10.2103131745",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"62","1062","MAGASIN EL MOUROUJ 5","36.714023164","10.2065939108",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"63","1063","MAGASIN JARA GABES","33.8881270829","10.0934042079",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"64","1064","MAGASIN SOMRANE","36.7985576741","10.144302536",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
